gender;d_age;attractive_o;sinsere_o;intelligence_o;funny_o;ambitous_o;attractive_partner;sincere_partner;intelligence_partner;funny_partner;ambition_partner;exercise;clubbing;tv;shopping;interests_correlate;like;match
1;4;9;9;9;9;8;10;10;10;9;10;5;3;7;6;72;9;1
0;3;6;7;7;6;8;8;9;8;8;8;8;4;5;7;71;9;1
1;0;9;9;10;9;9;9;10;8;9;7;4;7;1;1;69;9;1
0;5;9;9;7;8;5;9;10;9;9;8;7;6;10;10;67;9;1
1;3;4;8;7;4;3;8;8;10;10;10;5;7;6;6;66;9;1
1;0;7;10;8;8;7;6;10;10;8;8;5;7;6;6;66;9;1
0;1;9;9;9;9;9;9;8;8;7;7;5;9;6;8;64;9;1
1;1;9;8;8;7;7;9;9;9;9;9;2;9;1;4;64;9;1
0;3;6;8;9;6;10;9;10;8;8;8;8;8;9;9;62;9;1
1;3;8;9;10;5;9;8;8;7;8;8;4;7;5;7;62;9;1
0;0;8;8;8;7;9;8;7;7;5;5;5;9;6;8;61;9;1
1;2;8;6;8;8;8;7;7;8;10;7;8;4;1;8;61;9;1
1;0;8;7;7;5;5;8;8;8;7;9;7;7;7;7;61;9;1
1;3;6;6;6;6;6;8;8;7;8;7;8;3;7;7;61;9;1
0;0;8;7;7;8;7;10;8;8;9;9;8;6;2;4;61;9;1
1;1;6;7;8;5;7;10;10;9;10;9;8;9;4;6;59;9;1
1;1;5;8;7;8;5;10;10;10;10;10;7;9;6;5;59;9;1
1;2;7;10;8;8;8;7;10;10;6;10;7;3;3;5;59;9;1
1;1;7;7;7;7;6;8;9;9;9;9;7;8;5;9;58;9;1
1;0;7;7;7;6;7;9;9;9;8;8;2;9;1;4;56;9;1
0;4;8;8;10;8;10;9;8;8;8;7;4;8;4;8;55;9;1
0;2;7;6;7;7;6;8;9;9;9;6;5;9;3;7;55;9;1
1;3;9;8;9;9;9;9;8;7;8;8;7;9;2;9;53;9;1
0;3;9;8;7;8;8;9;8;9;9;9;4;8;4;8;53;9;1
0;1;6;8;8;6;7;8;7;8;6;9;8;8;6;7;52;9;1
1;10;6;8;8;7;7;8;9;9;10;7;8;5;2;4;52;9;1
1;2;7;7;7;7;6;9;9;9;9;9;9;7;5;7;49;9;1
0;6;7;7;8;6;7;10;10;10;7;10;4;8;3;2;48;9;1
1;2;8;8;8;7;7;9;9;9;9;9;8;8;6;9;47;9;1
0;4;4;5;6;6;6;7;9;8;9;8;4;1;7;8;47;9;1
0;1;6;7;6;8;7;9;9;9;8;9;8;4;5;7;47;9;1
1;5;6;7;7;6;6;7;6;8;8;6;9;6;2;1;46;9;1
0;1;9;8;7;7;6;8;7;7;7;6;3;8;4;7;45;9;1
0;2;8;8;8;8;8;10;8;9;9;9;5;7;6;7;44;9;1
1;1;7;7;8;9;6;9;10;10;7;9;7;7;7;6;44;9;1
1;1;10;9;8;9;9;9;10;8;8;7;8;9;3;4;44;9;1
1;2;8;6;8;7;7;10;8;6;7;10;1;6;7;2;44;9;1
0;1;9;10;8;8;7;10;9;8;9;9;7;3;3;2;44;9;1
1;5;6;8;7;10;7;9;10;10;10;10;10;1;10;10;43;9;1
1;4;8;10;7;7;7;9;8;9;8;8;6;5;4;4;43;9;1
0;1;7;7;8;7;8;7;7;8;7;5;8;6;1;2;39;9;1
0;6;5;10;8;7;8;8;9;8;8;6;7;3;9;7;38;9;1
1;3;7;7;8;2;5;8;7;6;6;6;6;1;6;7;37;9;1
0;2;6;8;8;7;7;10;9;9;10;8;8;6;5;4;37;9;1
0;2;8;7;8;7;7;10;8;8;9;8;8;6;2;4;37;9;1
0;3;9;7;9;9;7;10;8;9;9;9;5;7;6;7;36;9;1
0;3;9;10;9;9;8;7;9;8;9;6;8;9;4;1;33;9;1
1;3;7;7;8;8;7;9;10;10;10;10;5;1;7;7;32;9;1
1;2;6;9;9;6;5;8;8;9;9;8;7;5;9;9;31;9;1
1;17;9;8;7;8;7;9;9;9;9;9;7;8;5;9;31;9;1
0;5;6;7;8;6;8;7;10;9;8;6;9;5;1;3;29;9;1
1;4;8;7;7;7;7;7;7;8;8;7;9;7;5;7;28;9;1
1;1;7;8;7;7;6;10;10;8;10;10;8;8;6;9;26;9;1
0;3;8;10;7;9;7;8;8;7;9;8;7;5;8;5;24;9;1
0;4;8;8;8;7;7;9;9;10;9;8;1;3;6;2;24;9;1
1;10;9;8;8;8;7;8;8;9;8;8;6;5;4;4;23;9;1
1;2;8;7;8;8;7;9;9;9;9;9;7;8;5;9;22;9;1
0;5;7;6;7;7;7;10;8;10;9;9;8;9;2;3;22;9;1
0;1;6;8;8;7;7;10;9;9;9;7;5;8;2;3;21;9;1
1;3;6;6;6;5;5;9;10;10;6;9;10;8;6;6;19;9;1
0;6;7;8;8;8;8;7;7;9;8;9;6;9;3;5;19;9;1
0;6;7;8;8;7;6;9;9;9;9;8;8;2;6;4;18;9;1
1;0;8;7;8;6;8;10;10;10;8;9;8;9;4;6;17;9;1
1;2;7;7;7;7;7;8;7;7;7;7;8;7;5;6;16;9;1
0;1;7;7;9;8;9;8;8;8;8;7;6;9;8;7;14;9;1
0;7;10;10;10;10;10;10;10;9;10;8;9;8;4;3;13;9;1
1;2;7;7;7;7;7;8;9;9;9;9;10;1;9;1;13;9;1
1;0;6;8;8;7;9;8;6;7;8;2;9;6;2;1;12;9;1
1;2;7;8;8;8;8;8;9;9;9;10;10;1;10;10;11;9;1
1;0;8;10;10;10;10;8;8;8;8;9;7;7;8;10;11;9;1
0;0;10;10;9;10;10;9;7;7;8;7;8;9;4;6;11;9;1
1;6;9;8;7;8;7;8;7;8;9;6;8;1;1;7;9;9;1
1;6;9;6;9;9;9;9;9;9;9;9;5;3;3;5;9;9;1
0;1;8;9;9;8;9;9;8;7;9;6;10;3;2;3;8;9;1
1;3;8;6;7;7;7;4;7;9;9;10;10;7;8;10;7;9;1
1;0;8;10;9;7;5;8;10;9;8;7;3;8;2;4;7;9;1
0;0;8;10;9;8;7;8;10;9;7;5;8;6;1;2;7;9;1
1;5;10;9;8;7;7;8;8;8;8;8;7;5;9;9;6;9;1
0;3;8;7;8;8;8;9;8;8;7;8;5;9;6;8;6;9;1
1;4;6;6;6;6;5;9;10;10;10;9;10;7;4;7;6;9;1
1;2;7;9;9;8;8;8;9;8;8;6;10;5;8;7;5;9;1
0;8;8;8;8;8;8;9;9;9;9;9;9;1;5;8;4;9;1
1;3;6;9;9;10;8;8;8;9;10;9;3;3;6;7;4;9;1
0;1;7;10;8;10;6;10;8;10;8;8;2;1;3;1;4;9;1
1;3;7;7;8;7;7;9;8;9;9;9;9;3;4;4;3;9;1
1;2;7;10;7;10;6;8;10;7;10;9;6;9;1;10;1;9;1
0;2;5;8;9;7;9;9;9;8;8;7;4;3;9;9;1;9;1
1;3;8;6;8;9;5;9;9;9;10;9;8;4;7;9;1;9;1
1;8;8;6;7;8;7;9;10;8;9;7;10;1;10;10;-1;9;1
0;3;8;9;7;9;10;9;9;9;8;8;8;7;7;8;-1;9;1
1;3;9;9;9;8;8;8;9;7;9;10;4;6;5;8;-1;9;1
1;5;8;7;7;9;8;9;10;10;10;9;10;1;10;10;-2;9;1
1;2;6;10;10;8;7;10;8;9;10;10;1;3;4;9;-2;9;1
1;9;6;8;9;8;9;8;10;10;10;9;8;5;2;4;-3;9;1
1;3;8;8;8;8;8;9;7;8;9;8;7;6;8;10;-4;9;1
1;0;7;7;7;9;8;9;9;9;9;6;10;9;1;6;-6;9;1
1;2;8;7;8;8;9;10;9;9;9;8;10;9;1;6;-7;9;1
1;0;8;7;7;6;7;7;9;9;10;9;5;7;6;6;-8;9;1
0;3;8;7;7;9;6;8;8;10;7;6;9;5;6;5;-11;9;1
1;7;5;9;9;9;9;7;5;7;8;7;7;8;8;8;-13;9;1
1;1;8;8;8;8;8;8;9;9;9;9;7;8;5;9;-15;9;1
1;8;7;8;8;8;6;10;8;9;9;7;6;7;8;5;-16;9;1
1;3;8;8;8;10;7;7;7;7;6;6;3;7;9;10;-17;9;1
1;6;10;8;6;8;5;9;8;5;10;7;10;6;4;6;-17;9;1
0;0;7;6;8;8;8;9;8;8;8;7;4;8;6;5;-19;9;1
0;1;7;9;7;6;5;9;9;9;9;9;8;8;7;6;-21;9;1
0;0;8;7;7;8;8;8;9;9;8;10;4;1;7;8;-22;9;1
0;0;9;9;9;8;10;9;6;8;6;6;9;7;2;6;-23;9;1
1;0;9;6;8;6;6;9;9;9;8;10;4;5;6;3;-23;9;1
1;3;8;7;8;8;7;7;7;8;10;9;10;6;6;7;-28;9;1
0;2;7;7;7;9;7;9;9;9;9;9;7;6;8;5;-29;9;1
0;6;6;6;8;8;8;9;7;9;9;9;10;9;1;7;-34;9;1
0;1;10;9;9;8;8;6;9;8;6;8;6;7;8;2;-34;9;1
1;2;9;10;5;7;3;10;10;10;10;7;8;8;6;9;-35;9;1
0;5;8;6;7;7;7;9;7;7;8;4;4;1;6;4;-36;9;1
0;5;3;10;10;8;9;9;9;7;8;9;5;1;7;2;-36;9;1
1;3;8;8;8;8;8;9;9;9;9;9;1;3;4;9;-44;9;1
0;7;7;7;7;6;7;10;10;10;7;7;9;0;7;2;-51;9;1
0;2;9;8;9;9;10;8;8;8;9;7;8;2;1;6;81;8;1
1;4;8;10;8;8;8;8;6;10;9;10;5;3;1;6;76;8;1
0;4;8;6;10;9;10;8;10;8;8;8;8;2;1;6;76;8;1
0;7;6;7;7;4;4;9;6;6;7;6;5;8;3;6;73;8;1
1;2;9;9;9;9;9;8;10;8;9;8;10;9;6;7;72;8;1
0;2;8;10;8;9;8;9;9;9;9;9;4;7;1;1;72;8;1
0;14;8;8;8;7;5;9;10;9;8;7;4;7;1;1;72;8;1
1;4;10;10;10;10;10;5;10;10;6;6;1;10;8;8;68;8;1
1;5;9;10;9;9;8;9;9;7;8;5;7;4;9;6;67;8;1
0;1;7;7;9;5;9;9;8;8;6;5;9;6;5;3;67;8;1
0;3;8;8;10;10;10;4;8;7;4;3;5;9;6;8;66;8;1
0;0;6;10;10;8;8;7;10;8;8;7;2;2;5;5;66;8;1
0;4;7;7;7;5;6;7;8;8;10;8;6;1;8;2;66;8;1
0;1;8;10;10;9;8;8;8;7;8;6;7;5;2;6;65;8;1
0;2;6;7;10;5;10;8;10;10;8;10;4;7;6;4;65;8;1
1;1;7;7;7;5;7;8;10;10;8;10;9;6;1;3;65;8;1
0;9;5;5;6;10;7;8;10;8;8;8;2;2;5;5;63;8;1
0;1;95;9;9;8;9;8;9;9;8;9;6;4;6;1;63;8;1
1;3;7;7;8;5;9;8;10;10;8;8;5;6;8;7;62;8;1
0;5;5;9;9;7;8;8;8;7;9;6;7;9;1;1;62;8;1
1;5;7;7;8;7;6;9;10;10;10;10;9;8;8;9;61;8;1
0;2;7;7;8;10;7;8;6;8;8;8;5;8;1;1;61;8;1
0;1;10;10;9;10;9;6;7;8;5;7;5;9;6;8;59;8;1
0;2;7;7;7;8;7;8;7;8;9;8;5;9;3;7;59;8;1
0;0;6;4;8;10;7;9;6;10;9;8;8;8;6;7;57;8;1
1;0;9;6;10;9;8;6;4;8;10;7;6;7;8;5;57;8;1
0;4;7;8;9;7;8;9;8;7;8;7;3;5;8;5;57;8;1
0;0;5;5;5;8;5;8;8;8;8;8;3;8;8;8;56;8;1
1;6;8;8;7;7;7;4;7;8;10;7;10;6;6;7;56;8;1
1;4;9;8;8;8;7;8;8;10;8;10;1;6;10;9;55;8;1
0;6;10;7;8;7;9;8;8;9;8;8;5;9;6;8;55;8;1
1;4;8;7;6;7;6;7;7;7;8;7;7;7;7;7;55;8;1
0;1;5;4;7;7;7;8;6;5;8;5;7;6;3;4;55;8;1
0;3;8;8;9;8;9;8;10;8;6;9;7;4;10;9;54;8;1
1;3;8;10;8;6;9;8;8;9;8;9;5;9;9;9;54;8;1
1;0;9;9;9;10;9;5;10;10;9;9;7;8;5;9;54;8;1
0;0;5;10;10;9;9;9;9;9;10;9;5;8;2;5;54;8;1
0;5;4;8;7;7;6;7;7;6;7;7;8;2;6;4;54;8;1
1;5;6;7;6;7;6;9;9;10;9;9;8;6;7;3;54;8;1
0;1;5;7;8;7;5;7;7;7;8;7;5;2;2;2;54;8;1
1;2;6;8;8;6;5;7;6;9;8;7;5;6;6;1;54;8;1
1;2;9;8;8;6;4;5;9;9;8;7;7;7;7;9;53;8;1
0;0;8;8;7;7;6;8;9;8;7;6;4;1;7;8;53;8;1
1;1;8;6;7;7;7;6;8;8;8;4;7;7;7;7;53;8;1
0;2;8;9;9;8;8;9;7;8;8;10;8;8;6;7;53;8;1
1;2;5;8;7;7;4;9;8;8;5;7;8;6;5;5;53;8;1
1;0;8;9;8;7;6;8;8;7;7;6;8;1;3;4;53;8;1
1;2;9;7;8;8;10;8;9;9;8;8;8;6;7;3;53;8;1
0;1;6;8;8;8;4;8;6;7;7;7;8;8;3;3;53;8;1
0;2;7;7;6;8;7;8;8;8;9;9;8;7;8;7;52;8;1
0;0;6;6;6;6;6;8;8;7;7;7;4;8;6;5;52;8;1
0;2;6;7;8;7;6;8;7;8;8;7;5;2;2;2;52;8;1
0;1;10;7;7;6;6;8;8;8;7;8;4;7;1;1;52;8;1
1;1;6;8;8;7;7;8;8;10;9;10;9;7;7;8;51;8;1
0;4;6;8;8;7;7;9;9;10;9;10;9;6;8;7;51;8;1
0;4;7;8;7;7;7;8;8;9;9;8;5;7;6;7;51;8;1
0;5;10;8;9;9;8;9;9;8;9;7;9;9;8;6;51;8;1
1;5;9;9;8;9;7;10;8;9;9;8;8;6;7;3;51;8;1
1;2;8;10;8;8;8;8;8;8;8;6;7;7;6;8;49;8;1
1;4;5;6;6;5;6;6;6;8;6;8;10;7;4;7;49;8;1
1;0;7;9;10;10;10;7;7;8;8;7;8;7;5;6;49;8;1
0;0;7;7;8;8;7;7;9;10;10;10;4;10;7;5;49;8;1
0;2;8;8;8;8;6;8;10;8;8;8;2;1;1;2;49;8;1
1;2;8;6;6;7;6;7;8;9;8;9;1;5;8;10;48;8;1
0;1;1;9;9;1;6;6;8;9;7;8;6;6;7;5;48;8;1
1;4;10;9;8;6;5;5;7;9;6;8;6;5;4;4;48;8;1
0;4;5;7;9;6;8;10;9;8;6;5;1;3;6;2;48;8;1
0;1;6;8;8;8;8;7;8;8;9;8;8;2;4;1;48;8;1
0;2;9;9;9;9;9;8;8;8;7;7;1;8;2;5;47;8;1
0;4;6;6;7;5;5;7;9;10;6;9;2;2;2;3;47;8;1
1;3;10;10;10;10;10;7;9;9;8;2;7;7;7;9;46;8;1
1;4;9;7;9;8;8;10;10;10;9;5;6;8;6;9;46;8;1
0;3;7;9;9;8;2;10;10;10;10;10;4;7;6;4;46;8;1
0;0;10;9;9;10;10;9;7;7;9;7;8;8;5;2;46;8;1
1;2;7;8;6;8;6;8;8;7;8;8;6;8;5;7;45;8;1
1;7;7;6;6;7;6;8;7;8;8;8;10;7;4;7;45;8;1
1;1;8;7;7;7;6;9;8;7;7;6;8;1;1;7;45;8;1
0;7;3;6;7;5;3;8;9;8;8;8;1;4;7;2;44;8;1
0;2;10;8;6;7;10;8;6;8;7;7;4;5;3;2;44;8;1
1;4;7;8;8;6;7;7;8;75;8;7;10;5;7;9;43;8;1
1;1;7;6;7;6;5;6;8;8;7;5;5;6;1;2;43;8;1
0;5;9;10;10;10;10;6;8;7;10;7;7;3;5;1;43;8;1
0;6;10;10;10;10;10;9;5;6;6;6;7;9;1;1;43;8;1
1;0;6;10;9;5;5;8;8;8;7;7;5;5;4;8;42;8;1
1;3;6;7;7;6;5;7;9;8;7;8;8;1;3;4;42;8;1
1;3;4;3;6;7;6;8;10;10;8;10;6;7;9;9;41;8;1
0;1;7;8;9;9;8;5;9;8;9;7;9;6;5;9;41;8;1
1;5;6;8;8;5;3;9;6;9;3;6;8;2;6;2;41;8;1
0;2;4;6;7;6;7;5;8;8;6;8;7;4;10;9;39;8;1
1;1;7;7;8;7;5;7;7;8;7;8;7;3;6;5;39;8;1
1;1;8;10;8;8;7;9;9;8;9;8;8;6;7;3;39;8;1
1;3;6;8;8;8;7;4;9;9;6;8;5;9;5;5;37;8;1
1;1;8;9;9;8;9;8;8;8;8;8;5;9;4;9;36;8;1
1;1;7;7;7;7;7;8;8;8;8;8;5;6;6;8;36;8;1
0;1;8;8;8;8;8;8;9;9;8;9;4;8;4;8;36;8;1
0;4;6;5;6;7;7;7;7;9;8;7;8;6;5;6;36;8;1
0;2;8;10;10;10;6;8;10;8;9;8;4;6;4;6;36;8;1
1;5;8;6;6;6;6;5;7;7;9;9;7;7;1;5;36;8;1
0;2;6;5;3;7;8;7;8;7;8;7;3;7;3;4;36;8;1
1;3;10;8;9;9;9;9;7;9;9;7;4;7;1;1;36;8;1
1;2;8;10;8;9;8;8;10;10;10;6;4;7;1;1;36;8;1
1;3;6;8;7;6;7;7;7;7;8;7;8;9;8;8;35;8;1
1;12;4;5;7;7;6;8;9;9;6;9;6;2;7;3;35;8;1
0;1;7;7;8;8;7;9;8;9;9;8;9;10;2;10;34;8;1
1;2;7;10;7;7;7;8;8;8;8;8;7;5;9;9;34;8;1
1;1;65;7;7;65;6;7;9;9;8;9;8;8;7;8;34;8;1
1;4;10;9;9;9;9;7;8;6;8;7;7;3;6;5;34;8;1
1;1;9;8;9;9;8;7;7;8;8;7;8;9;3;4;34;8;1
1;1;7;9;9;8;8;8;6;7;8;7;3;6;7;2;34;8;1
1;3;9;8;8;6;7;6;8;7;7;8;6;1;6;7;33;8;1
0;5;6;7;8;8;6;8;10;9;7;8;8;7;5;7;33;8;1
1;6;7;7;6;6;6;8;9;9;10;10;8;5;6;6;33;8;1
1;3;7;9;8;9;6;9;10;9;9;8;7;1;3;6;33;8;1
1;0;7;8;8;8;7;8;10;9;9;7;10;8;6;6;32;8;1
1;2;7;7;7;7;7;8;8;7;8;6;8;5;6;6;32;8;1
0;8;7;6;6;5;5;8;10;9;9;7;6;4;5;6;32;8;1
0;30;8;7;9;8;8;8;8;7;9;6;9;8;4;6;32;8;1
1;0;8;8;8;6;4;3;9;9;6;9;2;6;4;5;32;8;1
0;1;8;8;8;10;8;7;8;7;8;6;8;6;7;2;32;8;1
1;8;5;7;8;7;7;8;9;9;9;8;1;3;4;9;31;8;1
1;2;8;6;8;6;7;8;8;8;8;8;7;7;3;9;31;8;1
1;3;10;10;10;10;10;5;7;8;7;7;5;5;7;6;31;8;1
0;1;4;6;7;3;2;7;8;8;8;7;7;3;5;6;31;8;1
0;20;7;7;6;7;6;9;8;9;10;8;7;6;4;4;31;8;1
1;3;8;6;7;7;8;5;10;9;6;9;10;7;4;7;29;8;1
1;3;9;9;8;8;6;7;7;10;10;9;5;7;6;6;29;8;1
1;5;5;7;6;6;4;8;8;8;8;7;3;4;6;5;29;8;1
0;3;5;10;9;6;9;8;6;7;7;8;3;7;7;4;29;8;1
0;3;7;7;10;10;9;9;9;8;8;6;8;3;5;4;29;8;1
1;1;5;8;9;8;8;8;9;9;9;8;7;7;9;7;28;8;1
0;4;7;7;8;8;7;8;7;7;7;7;3;8;4;7;28;8;1
0;1;5;5;8;7;6;8;9;8;8;9;3;7;3;4;28;8;1
1;0;7;8;8;5;6;9;10;10;10;10;8;6;7;3;28;8;1
0;5;6;4;7;3;7;8;7;7;8;4;9;6;5;3;28;8;1
0;1;8;8;9;8;9;8;8;8;8;6;7;6;2;3;28;8;1
0;1;8;9;9;9;8;5;8;9;8;8;9;1;2;2;28;8;1
1;5;10;10;10;10;10;9;8;8;9;7;7;4;9;6;27;8;1
1;1;6;8;7;5;6;10;9;9;7;9;9;2;5;5;27;8;1
1;1;5;5;5;5;5;3;9;10;5;10;2;6;4;5;27;8;1
0;0;7;9;8;7;5;8;9;8;8;3;1;3;6;2;27;8;1
1;0;8;9;8;8;3;7;9;8;7;5;5;6;1;2;27;8;1
1;1;7;7;9;9;8;7;7;5;7;5;1;3;5;10;26;8;1
0;5;5;7;7;6;6;9;8;9;8;8;4;4;6;9;26;8;1
1;4;10;10;10;10;10;8;9;9;9;8;7;7;3;9;26;8;1
1;9;10;10;8;10;6;8;9;9;8;9;8;8;7;8;26;8;1
1;2;6;6;6;7;5;7;8;8;9;8;5;6;5;6;26;8;1
0;2;7;8;8;9;8;6;6;6;7;5;3;7;3;4;26;8;1
0;1;10;10;8;10;10;7;8;7;7;6;9;1;2;2;26;8;1
0;14;6;9;8;9;8;9;7;7;7;5;2;1;10;10;25;8;1
1;14;9;7;7;7;5;6;9;8;9;8;9;1;9;10;25;8;1
1;1;7;6;7;5;6;8;8;9;8;10;9;7;7;8;25;8;1
1;3;8;10;9;8;8;8;6;7;8;9;8;8;8;7;25;8;1
1;2;9;9;8;9;9;7;7;8;8;8;8;5;6;6;25;8;1
1;3;6;8;8;8;7;9;8;8;9;8;2;9;9;9;24;8;1
1;10;10;9;8;8;9;7;8;7;8;7;5;9;7;9;24;8;1
1;3;8;8;7;9;8;8;10;7;9;7;8;4;7;9;24;8;1
1;1;8;8;8;8;7;8;8;8;8;8;8;8;7;8;24;8;1
0;5;8;8;7;7;8;8;8;8;8;7;5;9;6;8;24;8;1
0;7;7;8;9;9;7;6;7;7;10;6;9;8;4;6;24;8;1
1;4;10;10;10;10;10;9;8;8;7;9;10;6;4;6;24;8;1
